Production Countries,No. of Movies,Average Production Budget,Total Worldwide Box Office
United States,"21,325","$36,558,586","$592,527,154,476"
United Kingdom,"3,702","$30,434,842","$53,230,563,683"
China,"2,015","$36,510,943","$38,113,687,412"
France,"3,124","$22,815,141","$20,723,882,586"
Japan,"1,400","$28,802,676","$15,012,851,056"
Germany,"1,499","$30,344,596","$10,682,978,942"
Canada,"1,617","$20,373,317","$8,550,987,806"
Republic of Korea,"1,194","$17,373,000","$8,416,252,839"
Australia,802,"$29,343,607","$7,680,223,847"
India,"1,816","$15,212,059","$7,531,831,548"
New Zealand,216,"$62,059,286","$7,340,103,462"
Hong Kong,406,"$24,750,000","$7,080,851,224"
Italy,"1,407","$16,276,774","$4,334,158,905"
Spain,"1,283","$24,552,915","$4,043,437,402"
Belgium,543,"$17,505,514","$2,323,274,009"
Russian Federation,931,"$13,102,630","$2,279,138,315"
Mexico,457,"$12,075,000","$1,793,574,095"
Netherlands,437,"$21,320,000","$1,317,100,975"
Sweden,263,"$13,833,333","$1,268,317,020"
Ireland,311,"$18,673,643","$1,252,010,731"
Brazil,377,"$14,530,526","$1,112,748,304"
Turkey,873,"$10,733,333","$945,042,188"
Hungary,100,"$46,463,000","$887,365,467"
"Taiwan, Province of China",138,"$13,685,714","$880,536,495"
Denmark,259,"$12,865,433","$832,517,430"
Switzerland,213,"$21,182,727","$697,518,812"
Finland,94,"$19,150,018","$694,777,510"
Czech Republic,289,"$32,963,636","$661,794,529"
Argentina,832,"$11,075,000","$637,493,778"
South Africa,144,"$18,395,526","$607,855,685"
Poland,269,"$7,121,000","$580,972,888"
United Arab Emirates,38,"$28,446,429","$539,159,594"
Malta,11,"$77,500,000","$500,131,535"
Austria,166,"$11,041,667","$316,807,616"
Panama,9,"$36,000,000","$305,439,992"
Luxembourg,96,"$20,975,000","$265,668,614"
Norway,178,"$5,703,846","$253,018,170"
Tunisia,18,"$35,000,000","$249,231,329"
Morocco,28,"$36,225,000","$228,301,123"
Thailand,107,"$7,014,286","$227,669,309"
Romania,126,"$11,443,667","$212,741,613"
Chile,95,"$9,100,000","$190,027,257"
Uruguay,42,"$135,000,000","$169,029,947"
Paraguay,14,"$135,000,000","$165,740,253"
Slovakia,117,"$36,000,000","$164,127,218"
Iceland,66,"$17,850,000","$142,739,829"
Philippines,129,$0,"$127,191,352"
Israel,203,"$2,500,000","$127,126,337"
Ukraine,53,"$26,000,000","$99,382,693"
Kuwait,2,"$80,000,000","$96,763,308"
Peru,35,"$1,200,000","$94,756,774"
Lebanon,31,"$4,625,000","$86,985,997"
Islamic Republic of Iran,84,"$3,484,286","$81,669,322"
Greece,76,"$2,607,667","$75,035,649"
Cuba,37,$0,"$65,459,508"
Portugal,249,"$800,000","$58,426,452"
Bahamas,8,"$31,500,000","$56,207,252"
Bolivarian Republic of Venezuela,25,"$1,400,000","$54,144,060"
Malaysia,29,"$25,000,000","$53,431,898"
Latvia,43,$0,"$48,221,019"
Algeria,14,"$10,100,000","$47,510,465"
Greenland,3,"$21,000,000","$46,084,208"
The Former Yugoslav Republic of Macedonia,32,"$5,000,000","$45,124,224"
Botswana,4,$0,"$43,923,227"
Singapore,32,$0,"$43,484,484"
Bulgaria,105,"$10,750,000","$43,238,135"
Namibia,4,"$75,000,000","$34,034,218"
Croatia,39,"$40,000,000","$30,599,935"
Estonia,36,"$1,250,000","$30,175,572"
German Democratic Republic,13,"$5,000,000","$29,513,932"
Kazakhstan,21,"$29,000,000","$28,783,239"
Colombia,69,"$2,000,000","$28,126,964"
Lithuania,101,"$500,000","$25,026,078"
Costa Rica,8,"$20,000,000","$19,894,960"
Cayman Islands,3,"$9,000,000","$19,786,626"
Serbia,36,$0,"$16,854,543"
Indonesia,37,"$950,000","$16,786,338"
Saudi Arabia,8,"$30,000,000","$16,455,587"
Bosnia and Herzegovina,23,"$20,500,000","$14,754,076"
Mongolia,10,"$30,000,000","$14,559,458"
Qatar,47,"$7,875,000","$14,261,100"
Occupied Palestinian Territory,27,$0,"$12,594,718"
Egypt,28,"$2,625,000","$10,330,430"
Pakistan,53,"$1,100,000","$9,939,696"
Viet Nam,23,"$1,000,000","$8,762,922"
Dominican Republic,22,"$362,500","$8,216,870"
Slovenia,42,"$780,000","$8,009,584"
Montenegro,3,$0,"$7,795,158"
Belarus,11,$0,"$7,126,288"
Cyprus,13,"$3,650,000","$6,902,909"
Mauritania,2,$0,"$6,817,760"
Senegal,16,$0,"$6,565,233"
Democratic People's Republic of Korea,3,$0,"$6,143,147"
Monaco,6,"$28,000,000","$5,739,329"
Bermuda,3,$0,"$5,200,000"
Afghanistan,20,"$500,000","$5,065,856"
Puerto Rico,19,"$1,000,000","$4,650,207"
Armenia,11,$0,"$4,607,676"
Georgia,25,"$12,000,000","$4,289,282"
Kenya,13,"$15,000","$4,116,235"
USSR,7,"$25,000,000","$3,085,887"
Republic of Kosovo,8,$0,"$2,939,013"
Yemen,3,$0,"$2,466,867"
Cambodia,20,"$3,000,000","$2,447,747"
Papua New Guinea,3,$0,"$2,287,136"
Tajikistan,2,$0,"$1,776,779"
Northern Ireland,3,$0,"$1,739,042"
Myanmar,4,$0,"$1,624,569"
Albania,10,$0,"$1,587,718"
Nepal,15,$0,"$1,533,658"
Libyan Arab Jamahiriya,2,"$35,000,000","$1,511,707"
Guatemala,8,$0,"$1,045,001"
Maldives,2,$0,"$993,251"
Brunei Darussalam,1,$0,"$993,251"
Djibouti,1,$0,"$993,251"
Lao People’s Democratic Republic,4,$0,"$856,821"
Nigeria,32,"$2,616,667","$830,897"
Jordan,6,"$5,000,000","$769,121"
Cameroon,4,$0,"$727,360"
Vanuatu,2,$0,"$574,050"
French Polynesia,1,$0,"$443,291"
Palau,1,$0,"$443,291"
Bangladesh,7,$0,"$410,538"
Ghana,7,$0,"$406,799"
Netherlands Antilles,1,$0,"$358,871"
Sri Lanka,4,$0,"$352,824"
Iraq,11,$0,"$302,584"
Chad,3,$0,"$279,502"
Cape Verde,4,$0,"$273,078"
Syrian Arab Republic,8,$0,"$212,908"
British Indian Ocean Territory,1,$0,"$204,784"
Cook Islands,1,$0,"$186,978"
Mauritius,1,$0,"$134,849"
Ethiopia,10,$0,"$108,188"
Somalia,3,$0,"$98,269"
Bhutan,3,$0,"$85,760"
The Democratic Republic of the Congo,4,$0,"$84,087"
Plurinational State of Bolivia,8,$0,"$78,311"
Isle of Man,2,$0,"$71,190"
Jamaica,7,"$750,000","$69,280"
Azerbaijan,8,"$29,120","$54,706"
Rwanda,3,$0,"$51,992"
Angola,4,$0,"$47,278"
Haiti,6,$0,"$41,873"
Sudan,4,$0,"$35,565"
Czechoslovakia,4,$0,"$34,070"
Côte D'Ivoire,1,$0,"$30,661"
United Republic of Tanzania,7,"$800,000","$27,694"
Zimbabwe,1,$0,"$25,038"
Macao,2,$0,"$25,021"
Congo,1,$0,"$24,139"
Gabon,1,$0,"$19,215"
Bahrain,1,$0,"$19,130"
Uganda,6,$0,"$16,942"
Burkina Faso,2,$0,"$7,849"
Andorra,1,$0,"$4,325"
Samoa,1,$0,"$4,289"
Lesotho,2,$0,"$3,355"
Uzbekistan,2,$0,"$3,024"
Mozambique,2,$0,"$2,468"
Mali,2,$0,"$1,939"
Ecuador,8,"$800,000","$1,763"
Kyrgyzstan,4,"$1,400,000","$1,238"
Barbados,1,$0,"$1,105"
Antarctica,2,$0,$976
Trinidad and Tobago,4,$0,$0
Nicaragua,4,$0,$0
Liechtenstein,4,$0,$0
Republic of Moldova,2,$0,$0
El Salvador,2,$0,$0
Federated States of Micronesia,1,$0,$0
Liberia,1,$0,$0
Solomon Islands,1,$0,$0
Kiribati,1,$0,$0
Honduras,1,$0,$0
Fiji,1,$0,$0
Belize,1,$0,$0
Oman,1,$0,$0
